Query Description,ProblemStatement,Closure Comment,InternalRCA
Facing theme issues in omniapp configuration.,Whitelist,Code fix,Code fix
Execution of BAM scheduler failed,,After taking the server Restart the BAM Scheduler started working fine.,
Mandatory field bypass,NA,Register new CQRN with screenshots,NA
Wrong timezone for datetime system variables.,"Ibps version: ibps 5.0 SP3
Client has raised a concern that all the system variables of datetime type (entryDateTime, createdDateTime etc) are not following the timezone that is set on application server (which is UTC). Both application server and DB server follows the UTC timezone but the datetime stored in  DB is different and while open the workitem properties the datetime is different.",Please make/update the parameter EnableTimeZone=N in webdesktop.ini or cabinet specific ini (if present) at location(ApplicationserverHome/bin/OmniflowConfiguration/webdesktopconf),
geting DB Scripts Execution Failed for ibps sp2,I am installing ibps sp2 patch 1 through PMS getting DB Scripts Execution Failed,"Upgrade script not compiled and trying to run execute query of upgradeScript.so getting error , after doing the correct steps it resolved.",n/a
Query regarding ibps upgrade on cluster,"As discuss on call for deep discussion and understanding, Please schedule a meeting with your production server AR Diagram.","As discuss on call for deep discussion and understanding, Please schedule a meeting with your production server AR Diagram.",
Requesting iBps mobile patch for omniapp,,Deatils of iBPS_5.0_SP2_01_022 hotfix will be shared on its resolution mail,
Change font color of Table Header,"Table displayed in Borrower Classification screen of Customer Portal needs to be greyed out. According to the requirements stated, font color of the table header needs to be changed to the required color to maintain consistency.","FTP Path: 
https://ftp.newgen.co.in/~OmniRules/IBPS%205.X/iBPS%205.0%20SP2/Patches%20&%20Hotfixes/Specific_Hotfixes/IBPS5.2.1_214/",Bug 129472
Search enabled on table but not showing in WI,"We have JBoss 7.3 and iBPS 5.0 SP2. We have a table in iForm in which we have enabled searching and sorting on both table and column level. When launching the workitem, search box is visible in few of the worksteps and not getting shown in others. Also, sorting is not working on the table. Kindly, refer the screenshots attached and help us fix the issue.",Issue resolved after clearing wdtemp and iformstemp,
We trying up and down column name from report desi,,Reconfigure bam report,
Unable to Open the BAM in Omni App,ok,take call with product team for this issue after log analysis.,take call with product team for this issue after log analysis.
Not able to save workitem with empty row added,"1. Not able to save a workitem with empty valued row added in an advanced listview, showing error in saving.
2. addrowposthook is not working for advanced listview.
3. onchangesectionstate is not working on first time, only if collapsed and re-expanded again, then only its working. 
4. Not able to set default value to a textbox through properties of the field in form. Kindly let me know if its possible.
Need fix for all these issues asap. Kindly help in resolving.","As discussed with client, case is no longer exists and handled by client itself.",
"On Click Of Next ,how to call java","On click of Next Button ,we have to Send our control to java.",Please use custom button to define custom function as per your requirement.,
UI/UX feedback on Vendor Portal,"Dear Team,
Please confirm on below points:
1. Tab header is not getting fixed when using style other than style3
2. When tab is selected, Underline should not come in tab style 4
3. How can we restrict section collapsible
4. In combo box, instead of select need Select Parameter (default select should not appear)
5. In login based portal, On login page--- UserName place holder to be changed to Username","Point 3 and 4 not feasible. For other Points, fix will be provided in Hotfix IBPS5.2.1_193",Bootstrap 5 upgrade impact
unable to open the WI,"The mentioned Tasks- AP-0000000435784-Process while opening in Newgen its showing some Error(Invalid Request is Made: Injection blocked)

Kindly check & resolve the Issue.",Please deploy the hotfix: IBPS5.2.1_184 and Removed InputUserSecurity filter from web.xml.,please deploy the hotfix:  IBPS5.2.1_184. Duplicate issue And Removing InputUserSecurity filter from web.xml
Product and Process specific logs are not generate,,Discussed and NGLogsGeneration Document has been shared over team. Please follow the same and take server restart.,Discussed and NGLogsGeneration Document has been shared over team. Please follow the same and take server restart.
Identifier not working for Data Control fields,"Dear Team,
We are using Identifier functionality as suggested by Minakshi mam for showing field mandatory as we have to check the mandatory on next navigation.
It is working fine for all other controls facing issue for date controls only","FTP path for specific hotfix:
https://ftp.newgen.co.in/~OmniRules/IBPS%205.X/iBPS%205.0%20SP2/Patches%20&%20Hotfixes/Specific_Hotfixes/IBPS5.2.1_191/",Bug 127798
Unable to Add  Data into the Grid,"Using addDataToGrid Function  , unable to add data into the grid.",Closing ticket due to client not available. Please register a new one when available to showcase the issue,
Customer should be able to send another user mess,,"As discussed, the asked feature to send message to offline users is not feasible.",
Please share release notes for iBPSSP2 and iBPSSP3,,Release notes will be shared over the mail.,
Masking not in sync for float datatype in table,"We have a table where in one of the column data is float datatype, and when we apply US format masking on it, the decimal value of that field is not displayed. However when we remove masking it appears as float number with values including after decimal part too without comma. Our requirement is float type data with values present with comma separated. So, please assist into this.","Kindly verify that the datatype should be float with which the field is mapped.
Also kindly check the case by updating the return value as 2 in function allowPrecisionInText in iformclient.js .",
Listview overlay is not opening,"In a very rare situation listview overlay is not opened and row color changed into gray, please check screen shot","As discussed, issue is not generating for now. If issue still persists, we will check it offline.",NA
Unable to reassign workitem after Adhoc routing.,,"As checked over MS Teams,  it was a whitelisting issue. After changing the configuration, the issue has been resolved.",
no of pages not correct for migrated wi,"On weekend we did a migration activity in which 185 workitems were created on UAT and production environments though file upload and import utility. There were documents which were having multiple pages also. But all the workitems that are created through the utility are having one page in the attached document only.
We are attaching the logs of the file upload and import utility",Issue resolved after updating jar,Issue resolved after updating jar
MDM log CSV is generating of 0kb,getting no data after clicking on click here on uploading data in mdm,"provided user a temporary solution, will provide the latest hotfix IBPS_5.0_SP3_00_006",code fix
Requested Operation failed.,"As we analyzed the logs from the production, WMAssignWorkItemAttributes call is getting failed and in the subject it is showing ""The requested operation failed."" and in this call input Attributes tag is empty, no values are passing. 

We had taken this WMAssignWorkItemAttributes request and try to test in the SIT Environment. It is showing the same error ""The requested operation failed."" then we added few external column data in the Attributes tag then call is getting success [not showing the requested operation failed issue].","Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail: 
1. Proper self-explanatory issue description. 
2. Screenshots supporting the reported issue. 
3. Relevant application and Module logs specifying the error. 
4. Proper L1 analysis 
5. Proper information related to Product and Hotfix that are deployed. 
6. Proper contact information, so that person can be contacted if required.","Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail: 
1. Proper self-explanatory issue description. 
2. Screenshots supporting the reported issue. 
3. Relevant application and Module logs specifying the error. 
4. Proper L1 analysis 
5. Proper information related to Product and Hotfix that are deployed. 
6. Proper contact information, so that person can be contacted if required."
Issue in deploying Patch,,"Query is not yet clear ,Reporter claims that they are facing below issue while updating Base version scripts in iBP(5.0)  getting error as 'Pls check in the all processes' but they dont have any process created so far as omniapp is not up.

but when checked in Processdeftable there was Process present in the table which creates the doubt.
Please clear the query and then raise a ticket as ProdDeployment.","Query is not yet clear ,Reporter claims that they are facing below issue while updating Base version scripts in iBP(5.0)  getting error as 'Pls check in the all processes' but they dont have any process created so far as omniapp is not up.

but when checked in Processdeftable there was Process present in the table which creates the doubt.
Please clear the query and then raise a ticket."
Not able to save workitem nor submit workitem,,Please map Listview columns with the Queue variable members to save data of Listview.Associated field is blank for all the Listview columns.,
workitem widget is not loading properly,,Please deploy latest iBPS version,NA
Getting error while saving multiple WI,"We are getting ""some error occured at server end"" error when we are trying to save workitem by opening multiple workitems, We are using wf save product call.","Code fix provided in cleansession.jsp, please deploy IBPS5.2.1_196 for the same.","For iforms and psiform, cleansession.jsp should be different. In the problematic environment this jsp was same."
Unable add any queue to any user from ibps,While adding queue to specific user getting some sql related error. ibps version used: ibps 3.0. Already planned upgration of this but need hotfix to resolve this issue,Reporter is not available to showcase the issue .So  closing the ticket kindly raise a new ticket once available.,Reporter is not available to showcase the issue .So  closing the ticket kindly raise a new ticket once available.
Not able to add activities in BPMN view,Not able to add activities in BPMN view,"As checked it was working fine in another browser, Also not working in chrome as the user was using chrome on zoom out which was exceeding the max resolution product can handle.","As checked it was working fine in another browser, Also not working in chrome as the user was using chrome on zoom out which was exceeding the max resolution product can handle."
Email services not working,WI is not route to next workstep after arriving at email workstep. MAiling agent is configured and running properly.,"Its known issue kindly create sequence according to shared format-- drop sequence  on  TMSLOGID then create new with following syntex.  --- CREATE SEQUENCE TMSLOGID    
    INCREMENT BY 1 START WITH (current Value) NOCACHE","Its known issue kindly create sequence according to shared format-- drop sequence  on  TMSLOGID then create new with following syntex.  --- CREATE SEQUENCE TMSLOGID    
    INCREMENT BY 1 START WITH (current Value) NOCACHE"
Document Storage in AWS document storage.,,"Amazon S3 glacier support is available in OmniDocs 11 to configure primary and secondary document storage when using AWS (S3 bucket) for document storage. 
This feature enables the users to move the documents from Amazon S3 to S3 Glacier, helping them
to store infrequently used documents as an archive. It is a low-cost storage service that provides
secure and durable storage of documents. To view these documents, they must be retrieved from S3 Glacier which takes around 12 hours.Please download the OmniDocs 11.0 Web Reference Manual.pdf from following FTP location and refer the section 8.2.20 Support of S3 Glacier on page no 181
https://ftp.newgen.co.in/~Omnidocs/OmnidocsPRDPDocument/Manuals/OmniDocs11/
FTP User Credentials will be shared separately.",
Workitem not opening,,"As discussed over teams , this is custom code/jar issue. Please check at your end. Also checked with test JSP file. It is reflecting.


Note: These are L1 issues and need to be resolved at your end.",
Remove mandatory check from navigation back button,Mandatory check on navigationback button in fragment.,Please deploy hotfix IBPS5.3.0_022.,"Fixed Bug 126621 - On back click of navigation, it is asking for mandatory fields to be filled"
Allow to change the heading of the inner report,,Dynamic name change of report not available in BAM,
Error in console when changed workdesk layout,,"Kindly configure single column layout in process designer,",
UAT-John-MDM-Checker encounter error message,,"Fix released and Procedure compile, but not executed. now the procedure executed please try again.",
Please share log location post SP3 upgrade,We will be upgrading iBPS SP1 to SP3 and would like to understand if the logs location will be changed ? or if some logs will be merged,The log location will be bin--newgen--nglogs and nglogconfig folder will be bin--newgen--nglconfig,The log location will be bin--newgen--nglogs and nglogconfig folder will be bin--newgen--nglconfig
process is not opening in process Designer,"while clicking on process, The process modeler view is not opening and page go unresponsive so we are unable to checkout another process. The same issue is discussed with Mr. kislay kulshrestha (Ref- CQRN-262149), Kindly suggest",As per whole discussion and requirement we have used the backup of entries from activitytable and put them with old required processdefid so that the customer can have old process in working.,As per whole discussion and requirement we have used the backup of entries from activitytable and put them with old required processdefid so that the customer can have old process in working.
Reassign mail is not getting received,"Hi Team,
We are getting the issue while we are reassign the workitem to other person,in this case a mail should be triggered but no such mail has been trigerred nor we receive.Please suggest how we proceed on this this happend after the IBPS5.0 SP2 upgrade.
This issue comes when we are working with similar issue(reference from previous ticket CQRN-0000262521) with product team so i have raised a seprate ticket.",As checked the issue is coming because DMS user is not updated .After Updating DMS user its working fine.,As checked the issue is coming because DMS user is not updated .After Updating DMS user its working fine.
Post upgrade user asked to change password,,"As discussed, kindly do the configuration whenever you will upgrade.",
Iform not opening .,"1. I have created one IForm associated it with my work step and when I am trying to open that form It is not opening and on checking on console screen it is showing my form control Id is not defind and setStyle API is not working though I have assigned Id with every form control .
2. Attaching Screenshot for the same",Issue resolved after deploying IBPS5.3.0_034 & recompiling custom jar file,resolved .fixed.
Does SP3 has changes to format and font in form,"When we upgraded from iBPS 5.0 SP1 to SP2 , we can see changes in font family and format of the transaction form ? Is the same change expected in SP3 upgrade ? If yes , then is this change documented?","We had a major bootstrap upgrade in SP2 patch 1 which might have caused certain UI level differences. The same does not hold true for SP3. So, upgrade from SP2 patch 1 to SP3 should not cause such changes.",
in cookie attribute need to change SameSite,,Please do this setting at application server end by taking help from Application server / Web Server support team.,
Does SP3 has font and color scheme related changes,,bootstrap upgrade will cause changes in GUI,
OFServices portal giving Javax error,"While loading registered services for ofservices, error being generated ""javax.resource.ResourceException: IJ000453: Unable to get managed connection for java:/ngsscprod"".","Provided document for creating new datasource in case issue occurs again. Currently, reporter has taken server restart.","Provided document for creating new datasource in case issue occurs again. Currently, reporter has taken server restart."
While upgrading getting error in console.,"Unable to upgrade cabinet in ofservices getting ""The requested operation failed""","Please keep the path of the upgraded scripts at location(omniflowconfiguration\wfsconfig\WFAppConfigParam.xml\) in below tags and take the restart of the Application Server.

CabUpgradePath","Please keep the path of the upgraded scripts at location(omniflowconfiguration\wfsconfig\WFAppConfigParam.xml\) in below tags and take the restart of the Application Server.

CabUpgradePath"
BAM Report Access Denied 403,,"The report name mentioned in the ticket had a special invisible character in it which normally gets inserted when someone copies text from softwares like MS Word, so asked to enter the report name manually and the issue got resolved after that.",
Advanced Search is not working properly,,"As discussed, kindly modify the flag IsBlankSearch=Y to Y in webdesktop.ini folder
location: bin/omniflowconfiguration/webdesktopconf  and restart the webesktop.war.",
Need to know the latest stable version of ibps,,iBPS5.0SP3 is the latest release version. Please get the required package and guides from the production team. Please connect with thomas@newgensoft.com for iBPS5.0SP3 package.,
Not able to start axis2 war,We stop the axis2 war and then we tried to start but it's not starting completely. It starts partially.,"axis2.war partially starts , because you have cluster enviroment. in one node axis2.war deployed and in other node axis.war not there.so getting this clear message in error as well. Please with you configuration.","axis2.war partially starts , because you have cluster enviroment. in one node axis2.war deployed and in other node axis.war not there.so getting this clear message in error as well. Please with you configuration."
Can we customize uploaded Document window?,How can we customize OpAll Viewer tools.,"As discussed over MS Teams, you can customize OpAll viewer tools.

You can set the rank (order in which they will be available) and visibility of tool.

Please make changes in opall_config_properties.js file present at location OpAll.war/OpAll/PropertyFile/.

Fit_To_Height : {
    visibility : 1,
    rank : 15,
  },

Note: visibility 1(visible) or 0
rank is order in which you want to show the particular tool.",Stack Overflow
How to add document in Customer Portal via Custom Code,,User can upload document through only DocList control in iForm Portal. APIs to add Doctype in doclist from custom code is exposed.Document for DocList control shared on mail.,
addDataToGrid not working inside subform,"addDatatogrid not working in subform, if subform is not loaded",Please implement  code on subformload event for your business case.,
Unable to send mail thorugh mailing agent.,"Hi Team, I am unable to send mails through mailing agent in AWS Environment.",Tried to connect  Rishabh Jeed but getting no response .So closing the ticket for now kindly connect offline once available.,Tried to connect  Rishabh Jeed but getting no response .So closing the ticket for now kindly connect offline once available.
Column width not increasing and slider non editabl,,issue resolved,
delay in page load,,The issue is getting marked closed on helpdesk. Please raise separate ticket when available to show the issue.,
BOI : OmniApp---- Not able to login.,,Please check provided port in IBPS configuration files and confirm correct JNDI port is mentioned according to node.,
Disable of the DONE and SAVE Button.,"Disable of the DONE and SAVE Button in the IBPS 5 SP3 portal, on opening of the instrument...","To disable the save button and done button from Workdesk Menu items kindly make the below change in client.js file present at location(webdesktop.war\resources\scripts\)

function hideWdeskMenuitems(){

    var wdeskMenu="""";

    wdeskMenu=LABEL_SAVE_WDESK+"",""+LABEL_DONE_WDESK;

    return wdeskMenu;

}",configuration issue
getDatafromStoredProcedure doesn't return anything,Due to sqlexception getDatafromStoredProcedure api not working,Issue is due to custom code. Please check at your end.,
queue variable not getting when we search workitem,,Pls create the variable as search variable to be visible on search. That variable will be configured as alias.,
Custom Control Id is not working for DB linking.,"We have provided custom control id for radio button, textbox and combo box for DB linking. It's working fine for textbox but it is not working for radio button and combo box.",Please deploy IBPS5.2.1_190. FTP location : https://ftp.newgen.co.in/~OmniRules/IBPS%205.X/iBPS%205.0%20SP2/Patches%20&%20Hotfixes/Specific_Hotfixes/IBPS5.2.1_190/,fixed
Report not getting generated on frontend.,,Not a bug,
Users are unable to view documents on work exit,,"As checked error was coming because rights were not given on dataclass in omnidocs, so specific user were not able to view the documnet","As checked error was coming because rights were not given on dataclass in omnidocs, so specific user were not able to view the documnet"
Value doesnot disappear immediately when hovered,The values coming when user hovers over Fields are not disappearing immediately when user removes the cursor from the fields.,"Code fix provided in EComboCOntrol.class, please deploy IBPS5.3.0_027 for the same.",Bug 128162/CQRN-263192 - Tooltip remained visible for disabled listbox.
"Unable to increase the size of a Field,","Want a field size to be increased,but unable to do it,Already increased the size in database.","As discussed, you just have to remap the external table or complex table to reflect the changes you have made from DB end.","As discussed, you just have to remap the external table or complex table to reflect the changes you have made from DB end."
Create Multiple section on the basis of ADD option,Need a feature in iBPS to create multiple section on ADD option just as we add row in a table,Requirement rejected in CCB meeting. Either need to change approach or handle through custom code with fixed number of sections,
Need to identify the device from which user accesses the omniapp portal,,need to raise this as requirement for lower environment.,
Document Upload Slowness,As we are using iBPS 5.0 SP2 from Last couple of weeks user facing slowness in Uploading Document as well as viewing document. PFB case as verified along with user to upload 1.9 MB file it took around 1.5 min which is very huge time in production .Please help us any configuration needs to be done. Logs cannot be shared as we are using VDI. Please connect with us we will showcase all the logs.,As checked and discussed over teams issue is coming from the custom code on clicking custom interfaces please share the L1 L2 analysis and check your custom code.,NA
Query Related to Search Params,,The default search option provided by the product cannot be removed though you can set your own quick search by default.,
The mail body is missing some of the fields .,"The mail triggered on the reassignment of the workitem to some user is missing some information. For example: Initiated By User Name, Status, SLA Date Time was missing/empty in the mail triggered.We need to know the mapping of the fields that are sent as empty in mail body. We want to know tha name of the columns and the name of the table to which these are mapped to. Also we need sample data for the same .","As discussed  mentioned parameters depends on workitem .When using expiry SLA Date Time get populated , Initiated By User Name only populated for parent workitems only.","As discussed  mentioned parameters depends on workitem .When using expiry SLA Date Time get populated , Initiated By User Name only populated for parent workitems only."
Query related to Scheduler Report,,ok,
Event on which TransactionID generates,We need to know about the exact event on which the transactionID generates on Portal Application.,"As discussed, in your approach you are using routejourney command. This command will generate transactionID if table is mapped with interface/widget.",
BOB-Need to have branch wise access in a table .,"1. Need to have branch wise access in a table in classificator. If a branch user is logging in classificator, he/she should have access to add or modify the data of only his/her branch. PFA of the master. Please let us know how to achieve the same.
2. We require Pick list on column in classificator in which data should be load on the basis of other table condition.",Cannot provided feature enchancement in omniflow version,NA
Templates are not getting downloaded in IBPS.,,Client resolved at their own end.,
Tab Styling options,Unform width and height of tab,"At present, the product does not provide an option to set a uniform height and width for tabs. Instead, the height and width of each tab is automatically adjusted to accommodate its content.",
Error in WFUploadWorkItem call.,"For WFUploadWorkItem Inputxml the Outputxml is showing ""org.json.JSONException: JSON does not allow non-finite numbers."" for an tag value that contains ""."" in it.
 Exp :- 872.E1700067",As checked and discussed value has been passed in exponential form which is causing the error kindly pass the same in numeric form without converting it in exponential form.,As checked and discussed value has been passed in exponential which is causing the error kindly pass the same on numeric form without converting it to exponential.
Resume Portal Functionality on Portal/Application,"Dear Team, We are using the changeNavigationList functionlaity to resume. By using the same, we are able to go to the respective Stage, but the Stage Number in the Portal is not changed due to the same, the functionalities are not getting executed.","As discussed, please use changeNavigationList  api in formload method as per your requirement.",
BRMS changes are not being reflected on iform.,The brms changes were not reflecting on iform,"The brms changes were not reflecting on iform so I have replaced the axis2 
 war of SIT with that of UAT.","The brms changes were not reflecting on iform so I have replaced the axis2 
 war of SIT with that of UAT."
Not able to hit OS web urls.,,After installed the OmniScanWeb.war in WebSphere console with dependency libraries issue has been resolved. And Cabinet also registered successfully.,
Couldn't able to start the Process Server.,,"As discussed Reporter is unable to create the WI and without WI we cannot debug the issue because WI history is required for PS issues.
Please get the first issue resolved and Raise a new ticket for PS issue.","As discussed Reporter is unable to create the WI and without WI we cannot debug the issue because WI history is required for PS issues.
Please get the first issue resolved and Raise a new ticket for PS issue."
Getting javax.faces.FacesException: in Formviewer,We are getting the javax.faces.FacesException in formviewer war where we deployed the custom code in NGF jar. due to this error the auto population is not happening in omniscan template.,Issue resolved after removing validation-api.jar from tomcat lib and after moving all omniscan dependency files to omniscan war files web-inf/lib.,
additemintablecell api is not working,"When we try  additemintablecell through java code,its not working and  displaytablecell api  is working on section expand  but not working on tabclick.","As showcased additemintablecell api is not called in custom code, please check your approach and use case at your end.",
Not able to upload data through csv file,,Mappings were reconfigured,Mappings were reconfigured
Few workitems are struck in PFM workstep,"Some workitems stuck in PFM Queue. Error getting generated, ""com.newgen.omni.wf.util.app.exception.AppGenericException: Operation GetDocumentList Failed for workitem : AP-0000760418-Process with MainCode : -1048"".","As checked, XML logs were not present for the workitems. Kindly raise a new ticket with proper logs once issue gets replicated again.","As checked, XML logs were not present for the workitems. Kindly raise a new ticket with proper logs once issue gets replicated again."
Archive service is getting stopped,"Archive service is getting stopped getting ""unknown error from WFS""","As discussed, This error usually comes when you map different type of process variable with different data class. There is a  data class variable of picklist type. so, kindly remove the picklist type of dataclass variable and if you need to apply validation then apply it on form variable, do not make dataclass variable as of picklist type.

After doing suggested changes, issue is resolved.","As discussed, This error usually comes when you map different type of process variable with different data class. There is a  data class variable of picklist type. so, kindly remove the picklist type of dataclass variable and if you need to apply validation then apply it on form variable, do not make dataclass variable as of picklist type.

After doing suggested changes, issue is resolved."
Details not reflecting Under Queue,While accessing the queue. Data like invoice number etc. are missing. But when I search the same workitem data is there. Data is there in Database. Please refer to the attached screenshots,"As checked issue is coming because while running entry setting conditions data is not present in database its getting updated on same workdesk. So, kindly update the data before  entry setting conditions.","As checked issue is coming because while running entry setting conditions data is not present in database its getting updated on same workdesk. So, kindly update the data before  entry setting conditions."
Date format issue in REST Service created by BRMS.,date format input from workstep is dd-mm-yyyy but brms expects input in the format yyyy-mm-dd. We have made change in wfBRMSRESTUTIL for xdate format dd-MM-yyyy,date format input from workstep is dd-mm-yyyy but brms expects input in the format yyyy-mm-dd. We have made change in wfBRMSRESTUTIL for xdate format dd-MM-yyyy,dd-MM-yyyy
Decimal not coming in particular numeric field,"Application Server : JBOSS EAP 7.2
Database : PostgreSQL 10.4
IBPS Version : IBPS 5 SP3
in two text field whose data type  is numeric (15,2) but still decimal not coming in those field we even try masking pattern but still decimal not coming in those",Client has changed the column properties later on using query in database. Issue resolved after remapping the variable to the field in the form,
List box not Working properly,Listbox label getting distorted when label has more context,Please deploy hotfix IBPS5.2.1_187,IBPS5.2.1_187
Error in using Exchange Server Protocol in Iagent.,"Dear Team,

When trying to run the Initiating Agent with Echange Server Protovol, we are getting the following error: “Unsatisfied Link Error”.
Attached are the logs and screenshot of configuration for your reference. Please help.","As discussed, resolution has been provided through mail and attached in the ticket as well for reference.","As discussed, resolution has been provided through mail and attached in the ticket as well for reference."
Change background color of values in combo box,Background color of values displayed in dropdown of combo box to be changed according to the color code provided (#162B75) on mouse over or hover,This feature can be achieved by custom CSS. No product related feature available for the same.,
Correct alignment of checkbox and label,"On changing the size of the window for created for the Login Screen of Customer Portal or when switching to Mobile View, the label for customer consent checkbox appears below the corresponding checkbox. According to the requirements stated, the label and the corresponding checkbox need to be appear in the same line","We have not received any response following the reminder email that was sent. Kindly raise ticket when you are available to connect for discussion. Also as per the shared document, you have customized login.jsp where you are using table tag and css which is not required if you just want to show any message in login page.",
Screen is not working properly in mobie app.,"This is technology limitation, where UI gets distorted on orientation change.
You can disable the orientation by configuring the ini at server end for better experience","This is technology limitation, where UI gets distorted on orientation change.
You can disable the orientation by configuring the ini at server end for better experience","This is technology limitation, where UI gets distorted on orientation change.
You can disable the orientation by configuring the ini at server end for better experience"
Enclose instructional text in a box,Instructional text displayed in Banking and Financials screen of Customer to be be enclosed in a rectangular box with the required background color.,"We regret to inform you that this particular feature is not currently offered within the product. However, we are continuously exploring ways to enhance our offerings and may consider adding this feature in the future. Thank you for your understanding.",
We need to hide some fields from mobile app,,"Fields should be hidden from mobile app -
Dashboard: Required document will be shared over mail
Reminder: No provision
My task : Case Management checks
My Cases: Case Management checks
My Calender: Case Management checks
Favourite Queues: No provision",
Query related locked WI cases,,"As discussed, Queue should not be FIFO type and UnlockWorkitem=Y in oaconfig.ini and check.",
"temp tables tempobjectrightstable,tempfoldertree","As we checked in the queries list , temp tables tempobjectrightstable and tempfoldertree are getting created and drop, this was called for around 106 times today . From which call is this being created or dropped,as it was getting executed continuously",tempobjectrightstable is getting created while checking the rights for object type of rights management.,tempobjectrightstable is getting created while checking the rights for object type of rights management.
Not able to delete the Q variable,"Not able to delete the Q variable created in process although all rights have been removed and mapping from form also removed .
Giving association with Workdesk_PDA_Form on certain worksteps although rights are not there.","The client has resolved the issue on its own. So as of now, the client is able to delete queue variables after removing all the rights and dependencies which are associated with their respective queue variables.","The client has resolved the issue on its own. So as of now, the client is able to delete queue variables after removing all the rights and dependencies which are associated with their respective queue variables."
Wrong Deviation is being raised through rule.,,checking the issue,
Incorrect download format of pdf file,,Please raise separate ticket on lower environment.,
Alert for custom regex not working,Alert for custom regex not working.,"As checked, issue is coming from custom code. Please check this case at your end. And share complete analysis if this issue is related to product.",
Cancel button not required .,In showconfirmdialouge box we dont require cancel button.,"Issue resolved after using showSplitMessage api for the popup message with OK button. Also, in case of large amount of data please use custom code to handle the size of the popup message window.",
Unable to register view component,whitelisting framework,Whiteslisting issue while registering view. '_' was present in view name. After bypassing '_' now the issue is resolved.,
BAM Report - Key Field Mapping Not Loading,whitelisting,provided user solution will provide the hotfix IBPS_5.0_SP1_02_095,whitelisting
Change font and add banner for Axis client,,"Latto font is not supported in IBPS. So, it is not feasible to set Latto font. We can set the form available in the font family list.
@Aarti Ravindra Parekh, Pls change the logo as discussed over teams, omniapp.war/resources/images/newgenlogonew.png and ibps.png",
Extended Session of Omnidocs from Omniapp,,"As discussed, please pass the url ExtendSession URL in custom.jsp and query parameter check box should be checked.

Note: if query parameter check box will check then it will take the value of userdbid by default.",
BAM refused to connect.,,No response from the client. Please raise a separate ticket once you are available,
HMT report not generating,"HMT report not generating  ,  we have deployed the setup on uat and it is working fine , for production we have deployed war file on app server but the tool is running from a desktop used by support team .  from there it is giving attached error .  logs are also attached .","As checked , ""WFHEALTHCHECKUP must be declared "" sqlException is coming in error logs.
Kindly Execute the WFHealthComplete stored procedure in your associated DB and run the tool again and generate the report.",
Query related locked WI cases,,Please raise separate ticket again on lower environment with New CQRN.,
Date in the list View modal gets hidden.,"We are facing issue that the Date Picker field which is kept as last field in a list view is getting under the list view modal due to which user is unable to recognize the Date Picker. Please, do look into this. Please connect on Teams so that we can showcase the issue to you.","Please deploy Hotfix  IBPS5.2.1_189 for resolution of this issue.
Hotfix location shared on mail.",Impact of Bootstrap Upgrade
Listview latest data,"Customer having a requirement to show the latest modified listview data in the front as we have thousands of data in the listview in the batch size of 300, any product API available to achieve this or please provide a suggestion on customer query or refresh to do this.","We regret to inform you that this particular feature is not currently offered within the product. However, we are continuously exploring ways to enhance our offerings and may consider adding this feature in the future. Thank you for your understanding.",
Unable to Reassign Workitems,"We are unable to reassign workitems after the workitem is Adhoc Routed to another workstep.
(For logs - please connect, as unable to attach complete logs due to client machine restriction on sharing files)",Please dodeploy this file at location omniflowconfiguration/seconfig/webdesktopconf and take restart the application server and check.,whitelistng issue
how we can open workitem.,,http://192.168.156.36:8080/webdesktop/login/loginapp.app?WDDomHost=192.168.156.36:8080&CalledFrom=OPENWI&CabinetName=cemilac&SessionId=-122921709702361138&UserName=supervisor2&UserIndex=2&OAPDomPrt=http:&pid=WF-000000000000000060&wid=1&OAPDomHost=192.168.156.36:8080&OAPDomPrt=http:,
A particular workitem is not opening,"The user is unable to open a particular workitem in a specific process which throws an error (string index out of range : -963), we have attached the logs and screenshot for further reference. Kindly help us to resolve the issue.",As checked over teams post remapping the process alias on the reported workstep and deleting the wdtemp folder now the issue is resolved.,As checked over teams post remapping the process alias on the reported workstep and deleting the wdtemp folder now the issue is resolved.
How to modify/delete the external variable in iBPS,"How to modify or delete, already created variables  from Define Tables section in iBPS. We are using IBPS 5.0 SP3 and the client is doing the implementation, while designing the table structure if they try to modify or delete the existing column then they have redesign the table. Is there any way in product that we can modify column type/name or delete column from the ibps.",After changing table column type from backend you have to remap the table again to see the reflection of it.,After changing table column type from backend you have to remap the table again to see the reflection of it.
Debugger jar required for production issue,"We are using iBPS5 SP2. On production, sometimes we are getting ""java.net.ConnectException: connection refused: no further information for some WIs on production for WFInvokeWebService call for which we received debugger in wfsshared.jar against ticket: CQRN-0000244837 - Getting connection error in WFInvokeWebservice (Email is attached too regarding that discussion). Now client is asking to share those changes in jar shared from production as they are not comfortable to directly deploy UAT jar in production. Kindly help with this requirement.",UAT  debug points merged in Production  jar .Please find the required jar over ms-teams.,UAT  debug points merged in Production  jar .Please find the required jar over ms-teams.
